id;description;temp;vel;stretch;stress
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,526650005;41335,19402
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,494466707;37807,23868
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,460996077;34279,28333
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,428812778;30336,27442
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,395342148;26393,26551
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,361871518;22242,72981
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,32968822;18092,19411
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,29621759;13941,65841
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,26274696;9791,122715
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,230563661;5640,587017
1002;24ºC, 0.05s-1, 100%;297,15;0,05;1,197093031;1490,051319
1003;24ºC, 0.01s-1, 100%;297,15;0,01;0,99948758;348,654002
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,031670879;7819,618259
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,065141509;15290,58252
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,098612139;21308,85928
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,130795437;25251,86819
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,164266067;28364,76996
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,196449365;31892,72531
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,229919996;35628,20744
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,263390626;39363,68957
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,295573924;42684,11812
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,329044554;45797,0199
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,362515184;48494,8681
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,394698482;50777,66274
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,428169112;53060,45737
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,460352411;55135,72522
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,493823041;57210,99307
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,527293671;59078,73413
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,559476969;60946,4752
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,592947599;62606,68948
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,625130897;64474,43054
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,658601527;65927,11803
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,692072158;67794,8591
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,724255456;69455,07338
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,757726086;70907,76087
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,791196716;72152,92158
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,823380014;73190,55551
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,856850644;74435,71621
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,889033943;76095,93049
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,922504573;77341,0912
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,955975203;78586,25191
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,988158501;79208,83227
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,979147178;77341,0912
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,945676547;73813,13586
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,913493249;70492,7073
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,880022619;67587,33231
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,846551989;64889,48411
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,814368691;62606,68948
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,780898061;60116,36806
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,747427431;57626,04664
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,715244132;55135,72522
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,681773502;52437,87701
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,649590204;49740,02881
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,616119574;47042,18061
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,582648944;44551,85919
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,550465646;41854,01098
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,516995015;39156,16278
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,484811717;36458,31458
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,451341087;33552,93959
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,417870457;30647,5646
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,385687159;27949,7164
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,352216529;25251,86819
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,32003323;22346,4932
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,2865626;18818,53786
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,25309197;15290,58252
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,220908672;11555,10039
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,187438042;7819,618259
1003;24ºC, 0.01s-1, 100%;297,15;0,01;1,153967412;3876,609345
1004;0ºC, 0.1s-1, 100%;273,15;0,1;0,998886683;773,7411934
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,031718552;79895,10883
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,066481707;133075,0445
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,099313576;173284,2641
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,132145446;208305,1973
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,164977315;231652,4861
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,19974047;245920,2737
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,232572339;258890,9897
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,265404209;271861,7057
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,298236078;280941,2069
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,332999233;291317,7797
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,365831103;300397,2809
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,398662972;309476,7821
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,431494841;315962,1401
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,46432671;322447,4981
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,499089866;327635,7845
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,531921735;332824,0709
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,564753604;338012,3574
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,597585473;341903,5722
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,632348629;347091,8586
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,665180498;350983,0734
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,698012367;354874,2882
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,730844236;358765,503
