id;temp;stretch;dt;stress
3;253,15;1,049986115;0,632048837;0,417124283
3;253,15;1,098745041;0,487589258;0,559262473
3;253,15;1,147448375;0,487033347;0,641501213
3;253,15;1,202198926;0,547505509;0,69016484
3;253,15;1,250869884;0,486709574;0,737517086
3;253,15;1,299535343;0,486654594;0,77894521
3;253,15;1,348186752;0,486514089;0,805233913
3;253,15;1,399879383;0,51692631;0,83371419
3;253,15;1,451567942;0,516885584;0,857806228
3;253,15;1,500213241;0,486453;0,877512574
3;253,15;1,548858541;0,486453;0,897218919
3;253,15;1,600545064;0,516865221;0,919116839
3;253,15;1,652227513;0,516824495;0,93662652
3;253,15;1,700872813;0,486453;0,956332865
3;253,15;1,749524222;0,486514089;0,982621568
3;253,15;1,798169522;0,486453;1,002327914
3;253,15;1,852893194;0,547236716;1,022029169
3;253,15;1,901538494;0,486453;1,041735514
3;253,15;1,950189903;0,486514089;1,068024217
3;253,15;1,998835203;0,486453;1,087730563
3;253,15;2,047480503;0,486453;1,107436909
3;253,15;2,102210283;0,547297806;1,133720521
3;253,15;2,150855583;0,486453;1,153426866
3;253,15;2,199506992;0,486514089;1,179715569
3;253,15;2,248158401;0,486514089;1,206004272
3;253,15;2,30289368;0,547352786;1,238212006
3;253,15;2,351545699;0,486520198;1,265158944
3;253,15;2,400203217;0,486575178;1,298030004
3;253,15;2,448854626;0,486514089;1,324318707
3;253,15;2,497512144;0,486575178;1,357189767
3;253,15;2,552248033;0,547358895;1,390055737
3;253,15;2,600905551;0,486575178;1,422926797
3;253,15;2,64955696;0,486514089;1,4492155
3;253,15;2,698214478;0,486575178;1,48208656
3;253,15;2,752950367;0,547358895;1,514952529
3;253,15;2,801607885;0,486575178;1,547823589
3;253,15;2,850271512;0,486636267;1,587277007
3;253,15;2,89892903;0,486575178;1,620148067
3;253,15;2,953671028;0,547419984;1,659596393
3;253,15;3,002334655;0,486636267;1,699049811
3;253,15;3,050998282;0,486636267;1,738503228
3;253,15;3,099661908;0,486636267;1,777956645
3;253,15;3,148325535;0,486636267;1,817410063
3;253,15;3,203067534;0,547419984;1,856858389
3;253,15;3,25173116;0,486636267;1,896311807
3;253,15;3,300400896;0,486697357;1,942347581
3;253,15;3,349070632;0,486697357;1,988383356
3;253,15;3,403818128;0,547474964;2,033755804
3;253,15;3,452482366;0,486642376;2,073867457
3;253,15;3,501152101;0,486697357;2,119903232
3;253,15;3,549821837;0,486697357;2,165939006
3;253,15;3,601532795;0,517109578;2,214166355
3;253,15;3,653245789;0,517129941;2,264587822
3;253,15;3,701921633;0,486758446;2,317205954
3;253,15;3,750597478;0,486758446;2,369824086
3;253,15;3,799267214;0,486697357;2,41585986
3;253,15;3,854015321;0,547481073;2,461890544
3;253,15;3,902678948;0,486636267;2,501343962
3;253,15;3,951354792;0,486758446;2,553962093
3;253,15;4,000024528;0,486697357;2,599997868
3;253,15;3,95688947;0,5;1,968127208
3;253,15;3,907902071;0,489873993;1,579808857
3;253,15;3,859030741;0,488713299;1,316555293
3;253,15;3,8102205;0,488102407;1,119125302
3;253,15;3,75537465;0,5484585;0,967776902
3;253,15;3,706637717;0,487369337;0,849335198
3;253,15;3,65791911;0,48718607;0,750640565
3;253,15;3,609212721;0,487063892;0,665110647
3;253,15;3,560524658;0,486880624;0,599327801
3;253,15;3,505764333;0,547603251;0,540132402
3;253,15;3,457088488;0,486758446;0,48751427
3;253,15;3,408418753;0,486697357;0,441478496
3;253,15;3,359755126;0,486636267;0,402025078
3;253,15;3,305013128;0,547419984;0,362576752
3;253,15;3,25635561;0,486575178;0,329705692
3;253,15;3,207704201;0,486514089;0,303416989
3;253,15;3,159052792;0,486514089;0,277128286
3;253,15;3,104323011;0,547297806;0,250844674
3;253,15;3,055677711;0,486453;0,231138328
3;253,15;3,007026303;0,486514089;0,204849625
3;253,15;2,958381003;0,486453;0,18514328
3;253,15;2,909735703;0,486453;0,165436934
3;253,15;2,855012031;0,547236716;0,145735679
3;253,15;2,806366731;0,486453;0,126029334
3;253,15;2,75772754;0,486391911;0,112905345
3;253,15;2,70908224;0,486453;0,093199
3;253,15;2,654364677;0,547175627;0,080080102
3;253,15;2,605719377;0,486453;0,060373756
3;253,15;2,557074077;0,486453;0,040667411
